"Complex","0.08333333333333333","0.08333333333333333","1","math005",80
"BaseOptimizer","0.4151997764738754","0.09164571109248393","328","math006",3647
"NonLinearConjugateGradientOptimizer","0.7856943280245878","0.78317965912266","2803","math006",3647
"NonLinearConjugateGradientOptimizer","0.7862531433361274","0.7837384744341995","2805","math006",3647
"NonLinearConjugateGradientOptimizer","0.7876501816149762","0.7851355127130484","2810","math006",3647
"NonLinearConjugateGradientOptimizer","0.7968706342553786","0.7943559653534507","2843","math006",3647
"NonLinearConjugateGradientOptimizer","0.8024587873707739","0.799944118468846","2863","math006",3647
"PowellOptimizer","0.5973735680357641","0.5948588991338363","2129","math006",3647
"PowellOptimizer","0.597652975691534","0.595138306789606","2130","math006",3647
"PowellOptimizer","-2.794076557697681E-4","-2.794076557697681E-4","-1","math006",3647
"SimplexOptimizer","0.4545962559374127","0.04219055602123498","151","math006",3647
"SimplexOptimizer","0.4585079631181894","0.04610226320201174","165","math006",3647
"GaussNewtonOptimizer","0.8549874266554903","0.8524727577535625","3051","math006",3647
"GaussNewtonOptimizer","0.8555462419670299","0.853031573065102","3053","math006",3647
"GaussNewtonOptimizer","0.8700754400670578","0.86756077116513","3105","math006",3647
"LevenbergMarquardtOptimizer","0.904721989382509","0.9022073204805812","3229","math006",3647
"LevenbergMarquardtOptimizer","0.9052808046940486","0.9027661357921207","3231","math006",3647
"LevenbergMarquardtOptimizer","0.9460743224364347","0.9435596535345069","3377","math006",3647
"AbstractIntegrator","0.3801537386443047","0.3801537386443047","544","math007",1499
"AbstractIntegrator","0.3808525506638714","0.3808525506638714","545","math007",1499
"AbstractIntegrator","0.38784067085953877","0.38784067085953877","555","math007",1499
"AbstractIntegrator","0.3885394828791055","0.3885394828791055","556","math007",1499
"AbstractIntegrator","0.38923829489867223","0.38923829489867223","557","math007",1499
"AbstractIntegrator","0.3920335429769392","0.3920335429769392","561","math007",1499
"AbstractIntegrator","0.3969252271139064","0.3969252271139064","568","math007",1499
"AbstractIntegrator","0.3976240391334731","0.3976240391334731","569","math007",1499
"AbstractIntegrator","0.39832285115303984","0.39832285115303984","570","math007",1499
"DiscreteDistribution","-0.01020408163265306","-0.01020408163265306","-1","math008",166
"DiscreteDistribution","0.08163265306122448","0.08163265306122448","8","math008",166
"threed/Line","0.012345679012345678","0.012345679012345678","1","math009",149
"MultivariateNormalDistribution","0.01839080459770115","0.01839080459770115","16","math011",938
"BitsStreamGenerator","-0.0015313935681470138","-0.0015313935681470138","-1","math012",721
"Weight","14.954954954954955","14.954954954954955","1660","math014",179
"Weight","14.963963963963964","14.963963963963964","1661","math014",179
"Weight","14.972972972972974","14.972972972972974","1662","math014",179
"Weight","0.9009009009009009","0.9009009009009009","100","math014",179
"FastMath","-0.009009009009009009","-0.009009009009009009","-1","math015",179
"CMAESOptimizer","0.006756756756756757","0.01756756756756757","26","math018",1548
"CMAESOptimizer","0.010810810810810811","0.021621621621621623","32","math018",1548
"CMAESOptimizer","-6.756756756756757E-4","-6.756756756756757E-4","-1","math018",1548
"CMAESOptimizer","-6.756756756756757E-4","-6.756756756756757E-4","-1","math018",1548
"CMAESOptimizer","-6.756756756756757E-4","-6.756756756756757E-4","-1","math018",1548
"CMAESOptimizer","0.8542817679558011","0.8542817679558011","1237","math020",1516
"RectangularCholeskyDecomposition","0.078125","0.078125","20","math021",324
"RectangularCholeskyDecomposition","0.109375","0.109375","28","math021",324
"RectangularCholeskyDecomposition","0.12109375","0.12109375","31","math021",324
"RectangularCholeskyDecomposition","0.125","0.125","32","math021",324
"RectangularCholeskyDecomposition","0.12890625","0.12890625","33","math021",324
"RectangularCholeskyDecomposition","0.15234375","0.15234375","39","math021",324
"RectangularCholeskyDecomposition","0.15625","0.15625","40","math021",324
"RectangularCholeskyDecomposition","0.16015625","0.16015625","41","math021",324
"RectangularCholeskyDecomposition","0.1640625","0.1640625","42","math021",324
"RectangularCholeskyDecomposition","0.30078125","0.30078125","77","math021",324
"OpenMapRealVector","0.40331491712707185","0.06077348066298342","11","math029",249
"OpenMapRealVector","0.4088397790055249","0.06629834254143646","12","math029",249
"OpenMapRealVector","0.4143646408839779","0.0718232044198895","13","math029",249
"OpenMapRealVector","0.4198895027624309","0.07734806629834254","14","math029",249
"OpenMapRealVector","0.04419889502762431","0.04419889502762431","8","math029",249
"MannWhitneyUTest","0.188","0.188","47","math030",318
"ContinuedFraction","0.3890374331550802","0.3890374331550802","291","math031",816
"ContinuedFraction","0.39037433155080214","0.39037433155080214","292","math031",816
"ContinuedFraction","0.3997326203208556","0.3997326203208556","299","math031",816
"ContinuedFraction","0.40106951871657753","0.40106951871657753","300","math031",816
"ContinuedFraction","0.40240641711229946","0.40240641711229946","301","math031",816
"ContinuedFraction","0.4037433155080214","0.4037433155080214","302","math031",816
"ContinuedFraction","0.4050802139037433","0.4050802139037433","303","math031",816
"ContinuedFraction","0.40641711229946526","0.40641711229946526","304","math031",816
"ContinuedFraction","0.4077540106951872","0.4077540106951872","305","math031",816
"ContinuedFraction","0.4090909090909091","0.4090909090909091","306","math031",816
"ContinuedFraction","0.410427807486631","0.410427807486631","307","math031",816
"ContinuedFraction","0.4117647058823529","0.4117647058823529","308","math031",816
"ContinuedFraction","0.41310160427807485","0.41310160427807485","309","math031",816
"ContinuedFraction","0.4144385026737968","0.4144385026737968","310","math031",816
"ContinuedFraction","0.4157754010695187","0.4157754010695187","311","math031",816
"ContinuedFraction","0.41711229946524064","0.41711229946524064","312","math031",816
"ContinuedFraction","0.4184491978609626","0.4184491978609626","313","math031",816
"ContinuedFraction","0.4197860962566845","0.4197860962566845","314","math031",816
"ContinuedFraction","0.42112299465240643","0.42112299465240643","315","math031",816
"ContinuedFraction","0.42245989304812837","0.42245989304812837","316","math031",816
"ContinuedFraction","0.42379679144385024","0.42379679144385024","317","math031",816
"ContinuedFraction","0.42513368983957217","0.42513368983957217","318","math031",816
"ContinuedFraction","0.4264705882352941","0.4264705882352941","319","math031",816
"ContinuedFraction","0.42780748663101603","0.42780748663101603","320","math031",816
"ContinuedFraction","0.42914438502673796","0.42914438502673796","321","math031",816
"ContinuedFraction","0.4304812834224599","0.4304812834224599","322","math031",816
"ContinuedFraction","0.4344919786096257","0.4344919786096257","325","math031",816
"ContinuedFraction","0.4358288770053476","0.4358288770053476","326","math031",816
"ContinuedFraction","0.45588235294117646","0.45588235294117646","341","math031",816
"ContinuedFraction","0.4572192513368984","0.4572192513368984","342","math031",816
"ContinuedFraction","0.4585561497326203","0.4585561497326203","343","math031",816
"ContinuedFraction","0.45989304812834225","0.45989304812834225","344","math031",816
"ContinuedFraction","0.4612299465240642","0.4612299465240642","345","math031",816
"PolygonsSet","-5.605381165919282E-4","-5.605381165919282E-4","-1","math032",1852
"SimplexTableau","0.075","0.08","32","math033",468
"ListPopulation","0.041666666666666664","0.041666666666666664","1","math034",92
"ElitisticListPopulation","0.18181818181818182","0.18181818181818182","2","math035",79
"ElitisticListPopulation","0.7272727272727273","0.7272727272727273","8","math035",79
"BigFraction","0.2608695652173913","0.2608695652173913","6","math036",91
"BigFraction","0.13043478260869565","0.13043478260869565","3","math036",91
"Complex","0.06419753086419754","0.06419753086419754","26","math037",473
"Complex","0.014814814814814815","0.014814814814814815","6","math037",473
"Complex","0.06666666666666667","0.06666666666666667","27","math037",473
"Complex","0.027160493827160494","0.027160493827160494","11","math037",473
"BOBYQAOptimizer","0.9789473684210527","0.00631578947368421","12","math038",1968
"BOBYQAOptimizer","0.98","0.007368421052631579","14","math038",1968
"BOBYQAOptimizer","0.9805263157894737","0.007894736842105263","15","math038",1968
"BOBYQAOptimizer","0.9857894736842105","0.013157894736842105","25","math038",1968
"EmbeddedRungeKuttaIntegrator","0.6246246246246246","0.6246246246246246","416","math039",734
"BracketingNthOrderBrentSolver","0.2694063926940639","0.2694063926940639","59","math040",287
"BracketingNthOrderBrentSolver","3.949771689497717","3.949771689497717","865","math040",287
"Variance","0.24778761061946902","0.24778761061946902","28","math041",181
"SimplexTableau","0.2116991643454039","0.2116991643454039","76","math042",427
"SummaryStatistics","0.7712082262210797","0.7712082262210797","300","math043",457
"SummaryStatistics","0.7737789203084833","0.7737789203084833","301","math043",457
"SummaryStatistics","0.7763496143958869","0.7763496143958869","302","math043",457
"AbstractIntegrator","0.5457627118644067","0.5457627118644067","644","math044",1248
"AbstractIntegrator","0.5864406779661017","0.5864406779661017","692","math044",1248
"AbstractIntegrator","0.5940677966101695","0.5940677966101695","701","math044",1248
"OpenMapRealMatrix","0.42857142857142855","0.42857142857142855","12","math045",96
"Complex","0.00980392156862745","0.00980392156862745","1","math046",170
"Complex","1.2941176470588236","1.2941176470588236","132","math046",170
"Complex","0.020161290322580645","0.020161290322580645","5","math047",316
"Complex","0.008064516129032258","0.008064516129032258","2","math047",316
"Complex","1.0725806451612903","1.0725806451612903","266","math047",316
"BaseSecantSolver","0.8385093167701864","0.8385093167701864","405","math048",551
"OpenMapRealVector","11.675862068965516","11.675862068965516","1693","math049",213
